Organism/Name	BioProject Accession	Size (Mb)	GC%	Replicons	Scaffolds	Genes	Proteins	Status	Assembly Accession	FTP_path	PubMedID
Streptomyces xiamenensis	PRJNA73797	5.9614	72	chromosome:NZ_CP009922.3/CP009922.3	1	5460	5195	Complete Genome	GCA_000993785.3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/993/785/GCA_000993785.3_ASM99378v3	-
Gordonia jinghuaiqii	PRJNA647679	5.18411	67.6	chromosome:NZ_CP059491.1/CP059491.1	1	4633	4497	Complete Genome	GCA_014041935.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/041/935/GCA_014041935.1_ASM1404193v1	-
Ruania zhangjianzhongii	PRJNA559689	5.10568	69.0857	chromosome:NZ_CP042828.1/CP042828.1; plasmid unnamed:NZ_CP042827.1/CP042827.1	2	4706	4580	Complete Genome	GCA_008000995.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/000/995/GCF_008000995.1_ASM800099v1	-
Mycolicibacter heraklionensis	PRJNA747101	5.06174	67.8	chromosome:CP080997.1	1	4681	4542	Complete Genome	GCA_019645815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/815/GCA_019645815.1_ASM1964581v1	-
Pseudarthrobacter psychrotolerans	PRJNA600828	5.17067	64.701	chromosome contig_1:NZ_CP047898.1/CP047898.1; plasmid unnamed1:NZ_CP047899.1/CP047899.1; plasmid unnamed2:NZ_CP047900.1/CP047900.1	3	4907	4408	Complete Genome	GCA_009911795.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/911/795/GCF_009911795.1_ASM991179v1	-
Mycobacteroides saopaulense	PRJNA268854	4.64917	64.8	chromosome:NZ_CP010271.1/CP010271.1	1	4587	4483	Complete Genome	GCA_001456355.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/355/GCF_001456355.1_ASM145635v1	-
Microbacterium rhizosphaerae	PRJNA1044464	4.05706	69.7	chromosome:CP139368.1	1	3682	3609	Complete Genome	GCA_034120055.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/120/055/GCF_034120055.1_ASM3412005v1	-
Dietzia lutea	PRJNA319134	3.91184	70.9091	chromosome:NZ_CP015449.1/CP015449.1; plasmid unnamed1:NZ_CP015450.1/CP015450.1; plasmid unnamed2:NZ_CP015451.1/CP015451.1; plasmid unnamed3:NZ_CP015452.1/CP015452.1	4	3673	3500	Complete Genome	GCA_003096075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/075/GCF_003096075.1_ASM309607v1	-
Microbacterium abyssi	PRJNA669470	3.26729	68.1	chromosome:NZ_CP063815.1/CP063815.1	1	3169	3103	Complete Genome	GCA_015277895.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/277/895/GCA_015277895.1_ASM1527789v1	-
Clavibacter californiensis	PRJNA544536	3.24349	72.8028	chromosome:NZ_CP040792.1/CP040792.1; plasmid pCCa:NZ_CP040793.1/CP040793.1	2	3095	3008	Complete Genome	GCA_021952865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/952/865/GCA_021952865.1_ASM2195286v1	-
Clavibacter phaseoli	PRJNA544766	3.22675	73.3979	chromosome:NZ_CP040786.1/CP040786.1; plasmid pCP:NZ_CP040787.1/CP040787.1	2	3093	3023	Complete Genome	GCA_021922925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/922/925/GCA_021922925.1_ASM2192292v1	-
Changpingibacter yushuensis	PRJNA648198	2.66158	57.8	chromosome:NZ_CP059492.1/CP059492.1	1	2299	2195	Complete Genome	GCA_014041995.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/041/995/GCA_014041995.1_ASM1404199v1	-
Corynebacterium ramonii FRC0011	PRJNA263376	2.44283	53.3	chromosome:NZ_CP009622.1/CP009622.1	1	2193	2122	Complete Genome	GCA_000767685.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/685/GCA_000767685.1_ASM76768v1	25767241
Corynebacterium urogenitale	PRJNA576114	2.35189	59.9	chromosome:NZ_CP045032.1/CP045032.1	1	2086	1994	Complete Genome	GCA_009026825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/026/825/GCF_009026825.1_ASM902682v1	-
Xiamenia xianingshaonis	PRJNA718127	2.26346	63.3	chromosome:NZ_CP072829.1/CP072829.1	1	1711	1642	Complete Genome	GCA_017945865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/945/865/GCA_017945865.1_ASM1794586v1	-
Catenulispora acidiphila DSM 44928	PRJNA21085	10.4678	69.8	chromosome:NC_013131.1/CP001700.1	1	9103	8931	Complete Genome	GCA_000024025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/025/GCA_000024025.1_ASM2402v1	21304647
Streptosporangium roseum DSM 43021	PRJNA21083	10.3695	70.8965	chromosome:NC_013595.1/CP001814.1; plasmid pSROS01:NC_013596.1/CP001815.1	2	9309	9025	Complete Genome	GCA_000024865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/865/GCA_000024865.1_ASM2486v1	21304675
Actinoplanes friuliensis DSM 7358	PRJNA178199	9.37607	70.4	chromosome:NC_022657.1/CP006272.1	1	8753	8558	Complete Genome	GCA_000494755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/494/755/GCA_000494755.1_ASM49475v1	24637369
Saccharothrix espanaensis DSM 44229	PRJEB28	9.36065	72.2	chromosome:NC_019673.1/HE804045.1	1	8509	8236	Complete Genome	GCA_000328705.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/705/GCA_000328705.1_ASM32870v1	22958348
Kitasatospora setae KM-6054	PRJDA19951	8.78328	74.2	chromosome:NC_016109.1/AP010968.1	1	7782	7348	Complete Genome	GCA_000269985.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/985/GCA_000269985.1_ASM26998v1	21059706
Streptomyces platensis	PRJNA412292	8.50101	71.1	chromosome:NZ_CP023691.1/CP023691.1	1	7457	7128	Complete Genome	GCA_008704855.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/855/GCF_008704855.1_ASM870485v1	-
Actinosynnema mirum DSM 43827	PRJNA19705	8.24814	73.7	chromosome:NC_013093.1/CP001630.1	1	7171	6894	Complete Genome	GCA_000023245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/245/GCA_000023245.1_ASM2324v1	21304636
Kribbella flavida DSM 17836	PRJNA21089	7.57949	70.6	chromosome:NC_013729.1/CP001736.1	1	7128	6978	Complete Genome	GCA_000024345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/345/GCA_000024345.1_ASM2434v1	21304701
Stackebrandtia nassauensis DSM 44728	PRJNA19713	6.84156	68.1	chromosome:NC_013947.1/CP001778.1	1	6525	6363	Complete Genome	GCA_000024545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/545/GCA_000024545.1_ASM2454v1	21304662
Micromonospora maris AB-18-032	PRJNA59863	6.73227	70.8948	chromosome:NC_015434.1/CP002638.1; plasmid pVMKU:NC_015409.1/CP002639.1	2	6067	5901	Complete Genome	GCA_000204155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/155/GCA_000204155.1_ASM20415v1	21551311
Nakamurella multipartita DSM 44233	PRJNA29537	6.0603	70.9	chromosome:NC_013235.1/CP001737.1	1	5500	5289	Complete Genome	GCA_000024365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/365/GCA_000024365.1_ASM2436v1	21304699
Thermomonospora curvata DSM 43183	PRJNA20825	5.63902	71.6	chromosome:NC_013510.1/CP001738.1	1	5002	4850	Complete Genome	GCA_000024385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/385/GCA_000024385.1_ASM2438v1	21475583
Mycolicibacterium holsaticum DSM 44478 = JCM 12374	PRJNA747101	5.62371	67.2	chromosome:NZ_CP080998.1/CP080998.1	1	5363	5228	Complete Genome	GCA_019645835.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/645/835/GCA_019645835.1_ASM1964583v1	36651784
Geodermatophilus obscurus DSM 43160	PRJNA29547	5.3225	74	chromosome:NC_013757.1/CP001867.1	1	5109	4913	Complete Genome	GCA_000025345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/345/GCA_000025345.1_ASM2534v1	21304698
Mycolicibacterium thermoresistibile	PRJEB6403	4.95069	69	chromosome 1:NZ_LT906483.1/LT906483.1	1	4707	4529	Complete Genome	GCA_900187065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/065/GCA_900187065.1_50465_H02	-
Ilumatobacter coccineus YM16-304	PRJDA63297	4.83018	67.3	chromosome:NC_020520.1/AP012057.1	1	4303	4228	Complete Genome	GCA_000348785.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/785/GCA_000348785.1_ASM34878v1	23524358
Hoyosella subflava DQS3-9A1	PRJNA63351	4.86349	62.1997	chromosome:NC_015564.1/CP002786.1; plasmid pAS9A-1:NC_015560.1/CP002787.1; plasmid pAS9A-2:NC_015561.1/CP002788.1	3	4573	4444	Complete Genome	GCA_000214175.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/175/GCA_000214175.1_ASM21417v1	21725023
Beutenbergia cavernae DSM 12333	PRJNA20827	4.66918	73.1	chromosome:NC_012669.1/CP001618.1	1	4286	4181	Complete Genome	GCA_000023105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/105/GCA_000023105.1_ASM2310v1	21304633
Nocardioides dokdonensis FR1436	PRJNA191956	4.37671	72.3	chromosome:NZ_CP015079.1/CP015079.1	1	4173	4090	Complete Genome	GCA_001653335.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/335/GCF_001653335.1_ASM165333v1	-
Sanguibacter keddieii DSM 10542	PRJNA19711	4.25341	71.9	chromosome:NC_013521.1/CP001819.1	1	3784	3679	Complete Genome	GCA_000024925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/925/GCA_000024925.1_ASM2492v1	21304646
Cellulomonas flavigena DSM 20109	PRJNA19707	4.12318	74.3	chromosome:NC_014151.1/CP001964.1	1	3760	3658	Complete Genome	GCA_000092865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/865/GCA_000092865.1_ASM9286v1	21304688
Brachybacterium halotolerans subsp. kimchii	PRJNA774920	4.10197	71.7718	chromosome:NZ_CP086254.1/CP086254.1; plasmid pCBA3105-1:NZ_CP086255.1/CP086255.1	2	3694	3582	Complete Genome	GCA_020792675.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/792/675/GCA_020792675.1_ASM2079267v1	-
Isoptericola dokdonensis DS-3	PRJNA191953	3.82697	73.8	chromosome:NZ_CP014209.1/CP014209.1	1	3503	3402	Complete Genome	GCA_001636295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/636/295/GCF_001636295.1_ASM163629v1	-
Actinomyces viscosus	PRJEB6403	3.49124	68.9	chromosome 1:NZ_LR134477.1/LR134477.1	1	2962	2819	Complete Genome	GCA_900637975.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/975/GCA_900637975.1_53550_F01	-
Actinomyces slackii	PRJEB6403	3.22051	70	chromosome 1:NZ_LR134363.1/LR134363.1	1	2675	2568	Complete Genome	GCA_900637295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/295/GCA_900637295.1_50477_G01	-
Slackia heliotrinireducens	PRJEB6403	3.16616	60.2	chromosome 1:NZ_LR134379.1/LR134379.1	1	2819	2738	Complete Genome	GCA_900637575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/575/GCA_900637575.1_52006_A02	-
Segniliparus rotundus DSM 44985	PRJNA37711	3.15753	66.8	chromosome:NC_014168.1/CP001958.1	1	3105	2994	Complete Genome	GCA_000092825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/825/GCA_000092825.1_ASM9282v1	21304703
Corynebacterium maris DSM 45190	PRJNA172964	2.83355	66.6124	chromosome:NC_021915.1/CP003924.1; plasmid pCmaris1:NC_021920.1/CP003925.1	2	2671	2568	Complete Genome	GCA_000442645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/645/GCA_000442645.1_ASM44264v1	24501635
Corynebacterium terpenotabidum Y-11	PRJNA168617	2.75123	67	chromosome:NC_021663.1/CP003696.1	1	2459	2355	Complete Genome	GCA_000418365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/365/GCA_000418365.1_ASM41836v1	25197436
Jonesia denitrificans	PRJEB6403	2.74965	58.4	chromosome 1:NZ_LS483423.1/LS483423.1	1	2576	2469	Complete Genome	GCA_900475835.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/835/GCA_900475835.1_45232_G01	-
Corynebacterium marinum DSM 44953	PRJNA172963	2.72922	67.7994	chromosome:NZ_CP007790.1/CP007790.1; plasmid pCmarinum1:NZ_CP007792.1/CP007792.1; plasmid pCmarinum2:NZ_CP007791.1/CP007791.1	3	2617	2501	Complete Genome	GCA_000835165.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/165/GCA_000835165.1_ASM83516v1	-
Corynebacterium frankenforstense DSM 45800	PRJNA232093	2.60415	71.5	chromosome:NZ_CP009247.1/CP009247.1	1	2268	2163	Complete Genome	GCA_001941485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/485/GCF_001941485.1_ASM194148v1	-
Acidothermus cellulolyticus 11B	PRJNA16097	2.44354	66.9	chromosome:NC_008578.1/CP000481.1	1	2206	2118	Complete Genome	GCA_000015025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/025/GCA_000015025.1_ASM1502v1	19270083
Corynebacterium pseudogenitalium	PRJNA305687	2.3896	60.7	chromosome:NZ_CP072934.1/CP072934.1	1	2243	2161	Complete Genome	GCA_024453815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/453/815/GCF_024453815.1_ASM2445381v1	-
Acidimicrobium ferrooxidans DSM 10331	PRJNA29525	2.15816	68.3	chromosome:NC_013124.1/CP001631.1	1	2069	1983	Complete Genome	GCA_000023265.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/265/GCA_000023265.1_ASM2326v1	21304635
Coriobacterium glomerans PW2	PRJNA42699	2.11568	60.4	chromosome:NC_015389.1/CP002628.1	1	1833	1766	Complete Genome	GCA_000195315.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/315/GCA_000195315.1_ASM19531v1	-
Cryptobacterium curtum DSM 15641	PRJNA20739	1.6178	50.9	chromosome:NC_013170.1/CP001682.1	1	1402	1340	Complete Genome	GCA_000023845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/845/GCA_000023845.1_ASM2384v1	21304644
[Actinomadura] parvosata subsp. kistnae	PRJNA348567	13.0474	71.8	chromosome:NZ_CP017717.1/CP017717.1	1	12000	11783	Complete Genome	GCA_002057455.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/057/455/GCF_002057455.1_ASM205745v1	-
Actinoplanes sichuanensis	PRJNA993787	12.144	70.1	chromosome:AP028461.1	1	11342	11223	Complete Genome	GCA_033097365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/097/365/GCA_033097365.1_ASM3309736v1	-
Dactylosporangium vinaceum	PRJNA624050	11.9599	72.3	chromosome:NZ_CP061913.1/CP061913.1	1	10787	10470	Complete Genome	GCA_019904175.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/904/175/GCA_019904175.1_ASM1990417v1	34189614
Nonomuraea phyllanthi	PRJNA577199	11.2732	71.1	chromosome:NZ_CP045572.1/CP045572.1	1	10398	10104	Complete Genome	GCA_009497075.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/497/075/GCF_009497075.1_ASM949707v1	-
Streptomyces liliifuscus	PRJNA685923	11.3472	70.2113	chromosome:NZ_CP066831.1/CP066831.1; plasmid unnamed1:NZ_CP066832.1/CP066832.1	2	9980	9698	Complete Genome	GCA_016598615.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/598/615/GCA_016598615.1_ASM1659861v1	-
Saccharothrix syringae	PRJNA510219	10.9296	73.5	chromosome:NZ_CP034550.1/CP034550.1	1	9406	9114	Complete Genome	GCA_009498035.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/498/035/GCF_009498035.1_ASM949803v1	-
Amycolatopsis mongoliensis	PRJNA978978	10.8112	71.4	chromosome:NZ_CP127295.1/CP127295.1	1	10282	10050	Complete Genome	GCA_030285665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/285/665/GCF_030285665.1_ASM3028566v1	-
Streptomyces cyaneochromogenes	PRJNA509702	10.6771	70.6	chromosome:NZ_CP034539.1/CP034539.1	1	9544	9057	Complete Genome	GCA_003963535.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/963/535/GCF_003963535.1_ASM396353v1	31219415
Dactylosporangium fulvum	PRJNA725106	10.495	71	chromosome:NZ_CP073720.1/CP073720.1	1	9676	9403	Complete Genome	GCA_025137375.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/137/375/GCF_025137375.1_ASM2513737v1	-
Kutzneria chonburiensis	PRJNA835675	10.4112	69.9	chromosome:CP097263.1	1	-	-	Complete Genome	GCA_028622115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/622/115/GCF_028622115.1_ASM2862211v1	-
Amycolatopsis rhabdoformis	PRJNA978978	10.406	71	chromosome:CP142149.1	1	9689	9531	Complete Genome	GCA_035918295.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/918/295/GCF_035918295.1_ASM3591829v1	-
Streptomyces yatensis	PRJNA719702	10.3604	71.4	chromosome:NZ_CP072941.1/CP072941.1	1	8681	8356	Complete Genome	GCA_018069625.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/069/625/GCA_018069625.1_ASM1806962v1	-
Streptomyces akebiae	PRJNA751172	10.5494	70.8443	chromosome:NZ_CP080647.1/CP080647.1; plasmid unnamed2:NZ_CP080648.1/CP080648.1	2	9144	8696	Complete Genome	GCA_019599145.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/599/145/GCA_019599145.1_ASM1959914v1	-
Phytohabitans suffuscus	PRJDB9403	10.1487	72	chromosome:NZ_AP022871.1/AP022871.1	1	9096	8238	Complete Genome	GCA_011764565.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/764/565/GCA_011764565.1_ASM1176456v1	-
Streptomyces kanamyceticus	PRJNA412292	10.1339	71	chromosome:NZ_CP023699.1/CP023699.1	1	8785	8467	Complete Genome	GCA_008704495.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/495/GCF_008704495.1_ASM870449v1	-
Streptomyces phaeolivaceus	PRJNA576310	10.1754	70.9052	chromosome:NZ_CP045096.1/CP045096.1; plasmid unnamed1:NZ_CP045095.1/CP045095.1	2	9103	8563	Complete Genome	GCA_009184865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/184/865/GCF_009184865.1_ASM918486v1	-
Streptomyces deccanensis	PRJNA800206	10.1015	71.1	chromosome:NZ_CP092431.1/CP092431.1	1	8897	8577	Complete Genome	GCA_022385335.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/385/335/GCA_022385335.1_ASM2238533v1	-
Lentzea guizhouensis	PRJNA328305	9.99787	70	chromosome:NZ_CP016793.1/CP016793.1	1	9862	9437	Complete Genome	GCA_001701025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/701/025/GCF_001701025.1_ASM170102v1	-
Streptomyces ferrugineus	PRJNA669217	9.95909	70.9	chromosome:NZ_CP063373.1/CP063373.1	1	8977	8605	Complete Genome	GCA_015160855.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/160/855/GCA_015160855.1_ASM1516085v1	-
Streptomyces roseirectus	PRJNA659888	9.94745	71.8	chromosome:NZ_CP060828.1/CP060828.1	1	8640	8291	Complete Genome	GCA_014489635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/489/635/GCA_014489635.1_ASM1448963v1	-
Actinoplanes ianthinogenes	PRJDB9578	9.89781	71.5	chromosome:NZ_AP023356.1/AP023356.1	1	9119	8852	Complete Genome	GCA_018324205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/324/205/GCA_018324205.1_ASM1832420v1	-
Kutzneria albida DSM 43870	PRJNA235190	9.87493	70.6	chromosome:NZ_CP007155.1/CP007155.1	1	8897	8689	Complete Genome	GCA_000525635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/525/635/GCA_000525635.1_ASM52563v1	25301375
Streptomyces longhuiensis	PRJNA768972	10.0188	70.4476	chromosome:NZ_CP085173.1/CP085173.1; plasmid p1:NZ_CP085174.1/CP085174.1	2	9212	8818	Complete Genome	GCA_020616555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/616/555/GCA_020616555.1_ASM2061655v1	-
Actinoplanes oblitus	PRJNA978116	9.80787	71.5	chromosome:NZ_CP126980.1/CP126980.1	1	8772	8588	Complete Genome	GCA_030252345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/252/345/GCF_030252345.1_ASM3025234v1	-
Streptomyces broussonetiae	PRJNA595585	9.73578	70.9	chromosome:NZ_CP047020.1/CP047020.1	1	8991	8381	Complete Genome	GCA_009796285.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/796/285/GCF_009796285.1_ASM979628v1	-
Streptomyces durmitorensis	PRJNA836727	9.86262	70.4134	chromosome:NZ_CP097289.1/CP097289.1; plasmid p1:NZ_CP097290.1/CP097290.1	2	8704	8417	Complete Genome	GCA_023498005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/498/005/GCA_023498005.1_ASM2349800v1	-
Streptomyces fodineus	PRJNA338069	9.69895	71.1	chromosome:NZ_CP017248.1/CP017248.1	1	8725	8178	Complete Genome	GCA_001735805.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/805/GCF_001735805.1_ASM173580v1	30896386
Streptomyces cinnabarinus	PRJNA911059	9.62172	70.9	chromosome:CP114413.1	1	8674	8379	Complete Genome	GCA_027270315.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/270/315/GCF_027270315.1_ASM2727031v1	-
Phytohabitans flavus	PRJDB9400	9.607	70.8	chromosome:NZ_AP022870.1/AP022870.1	1	8740	7888	Complete Genome	GCA_011764545.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/764/545/GCA_011764545.1_ASM1176454v1	-
Streptomyces janthinus	PRJNA1014812	9.45192	70.7819	chromosome:CP134213.1; plasmid punmamed1:CP134214.1	2	8689	8322	Complete Genome	GCA_031593255.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/593/255/GCA_031593255.1_ASM3159325v1	-
Streptomyces coeruleorubidus	PRJNA412292	9.3357	71.1	chromosome:NZ_CP023694.1/CP023694.1	1	8492	8139	Complete Genome	GCA_008705135.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/705/135/GCF_008705135.1_ASM870513v1	-
Streptomyces cadmiisoli	PRJNA475413	10.2393	70.72	chromosome:NZ_CP030073.1/CP030073.1; plasmid unnamed1:NZ_CP030074.1/CP030074.1	2	8882	8499	Complete Genome	GCA_003261055.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/261/055/GCF_003261055.1_ASM326105v1	30714891
Streptomyces halobius	PRJNA762165	9.23913	69.9	chromosome:NZ_CP086322.1/CP086322.1	1	8399	7756	Complete Genome	GCA_023277745.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/277/745/GCA_023277745.1_ASM2327774v1	-
Amycolatopsis albispora	PRJNA317247	9.12144	70.7	chromosome:NZ_CP015163.1/CP015163.1	1	8544	8370	Complete Genome	GCA_003312875.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/312/875/GCF_003312875.1_ASM331287v1	-
Streptomyces qaidamensis	PRJNA316940	9.08337	71.3	chromosome:NZ_CP015098.1/CP015098.1	1	8224	7838	Complete Genome	GCA_001611795.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/611/795/GCF_001611795.1_ASM161179v1	-
Streptomyces cynarae	PRJNA883553	9.36261	70.5275	chromosome unmamed1:NZ_CP106793.1/CP106793.1; plasmid punmamed2:NZ_CP106794.1/CP106794.1	2	8515	7772	Complete Genome	GCA_025642135.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/642/135/GCF_025642135.1_ASM2564213v1	-
Nocardia iowensis	PRJNA743876	8.94807	66.8	chromosome:NZ_CP078145.1/CP078145.1	1	8272	8103	Complete Genome	GCA_019222765.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/222/765/GCA_019222765.1_ASM1922276v1	-
Actinomadura graeca	PRJNA644621	8.97959	72.4112	chromosome:NZ_CP059572.1/CP059572.1; plasmid pAGRA3207_1:NZ_CP059573.1/CP059573.1; plasmid pAGRA3207_2:NZ_CP059574.1/CP059574.1	3	7933	7677	Complete Genome	GCA_019175365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/175/365/GCA_019175365.1_ASM1917536v1	-
Streptomyces fagopyri	PRJNA579795	8.88033	71.2	chromosome:NZ_CP045643.1/CP045643.1	1	7720	7386	Complete Genome	GCA_009498275.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/498/275/GCF_009498275.1_ASM949827v1	-
Streptomyces hawaiiensis	PRJNA390567	8.87693	71	chromosome:NZ_CP021978.1/CP021978.1	1	8166	7670	Complete Genome	GCA_004803895.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/895/GCF_004803895.1_ASM480389v1	-
Rhodococcus pseudokoreensis	PRJNA700828	9.86656	67.2436	chromosome:NZ_CP070619.1/CP070619.1; plasmid unnamed1:NZ_CP070618.1/CP070618.1; plasmid unnamed2:NZ_CP070617.1/CP070617.1; plasmid unnamed3:NZ_CP070616.1/CP070616.1; plasmid unnamed4:NZ_CP070615.1/CP070615.1; plasmid unnamed5:NZ_CP070614.1/CP070614.1	6	9048	8767	Complete Genome	GCA_017068395.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/068/395/GCA_017068395.1_ASM1706839v1	3413763035857200
Streptomyces decoyicus	PRJNA758235	8.63295	70.9	chromosome:NZ_CP082301.1/CP082301.1	1	7639	7231	Complete Genome	GCA_019880305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/880/305/GCA_019880305.1_ASM1988030v1	-
